Land;Stadt;Kategorie;Jahr;Stadtteile;Merkmal;Einpersonen;Paar ohne Kind;Paar mit Kindern;Paar mit Nachkommen;Alleinerziehende;Sonst. Mehrpersonenhaushalte;lat;lon
de-sh;Kiel;Bevoelkerung;31.12.2022;Ellerbek;Haushalte;1799.0;615.0;419.0;126;130;190;54.315604;10.165314
de-sh;Kiel;Bevoelkerung;31.12.2022;Wellingdorf;Haushalte;2502.0;903.0;476.0;90;277;281;54.325299;10.1849227
de-sh;Kiel;Bevoelkerung;31.12.2022;Holtenau;Haushalte;1546.0;871.0;397.0;99;117;179;54.3724973;10.1361679
de-sh;Kiel;Bevoelkerung;31.12.2022;Pries;Haushalte;1851.0;843.0;480.0;116;245;239;54.3979145;10.170429
de-sh;Kiel;Bevoelkerung;31.12.2022;Friedrichsort;Haushalte;713.0;202.0;140.0;20;60;59;54.393077;10.1790173
de-sh;Kiel;Bevoelkerung;31.12.2022;Neumuehlen/Dietrichsdorf;Haushalte;3696.0;1416.0;808.0;170;384;459;;
de-sh;Kiel;Bevoelkerung;31.12.2022;Elmschenhagen;Haushalte;4183.0;2153.0;1221.0;317;478;536;54.2934876;10.184575
de-sh;Kiel;Bevoelkerung;31.12.2022;Suchsdorf;Haushalte;1856.0;1297.0;759.0;189;184;245;54.3573804;10.0787571
de-sh;Kiel;Bevoelkerung;31.12.2022;Schilksee;Haushalte;1242.0;885.0;238.0;72;79;140;54.4210463;10.1703279
de-sh;Kiel;Bevoelkerung;31.12.2022;Mettenhof;Haushalte;3338.0;1761.0;1731.0;369;656;740;54.3223529;10.0532291
de-sh;Kiel;Bevoelkerung;31.12.2022;Russee;Haushalte;1320.0;1074.0;539.0;151;148;225;54.3016426;10.0665383
de-sh;Kiel;Bevoelkerung;31.12.2022;Meimersdorf;Haushalte;336.0;305.0;423.0;77;83;84;54.2747652;10.1101233
de-sh;Kiel;Bevoelkerung;31.12.2022;Moorsee;Haushalte;278.0;238.0;265.0;40;42;49;54.264576;10.150361
de-sh;Kiel;Bevoelkerung;31.12.2022;Wellsee;Haushalte;1060.0;617.0;465.0;107;149;163;54.2907296;10.1622402
de-sh;Kiel;Bevoelkerung;31.12.2022;Roenne;Haushalte;77.0;61.0;34.0;9;6;18;;
de-sh;Kiel;Bevoelkerung;31.12.2021;Altstadt;Haushalte;430.0;175.0;40.0;7;13;27;54.3232694;10.1394445
de-sh;Kiel;Bevoelkerung;31.12.2021;Vorstadt;Haushalte;670.0;158.0;41.0;2;13;38;54.3196228;10.1315252
