Land;Stadt;Kategorie;Merkmal;Datum;Stadtteilnummer;Stadtteil;insgesamt;maennlich;weiblich;lat;lon
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;1;Altstadt;1220;638;582;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;2;Vorstadt;1648;829;819;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;3;Exerzierplatz;6299;3000;3299;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;4;Damperhof;3436;1663;1773;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;5;Brunswik;6473;2980;3493;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;6;Duesternbrook;3108;1484;1624;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;7;Bluecherplatz;11234;5148;6086;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;8;Wik;20145;9605;10540;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;9;Ravensberg;12283;5798;6485;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;10;Schreventeich;11692;5554;6138;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;11;Suedfriedhof;15404;7677;7727;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;12;Gaarden-Ost;19229;10380;8849;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;13;Gaarden-Sued/Kronsburg;10843;5441;5402;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;14;Hassee;12876;6511;6365;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;15;Hasseldieksdamm;2746;1337;1409;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;16;Ellerbek;6180;3143;3037;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;17;Wellingdorf;8051;3878;4173;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;18;Holtenau;6206;3179;3027;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;19;Pries;7350;3590;3760;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;20;Friedrichsort;2103;1023;1080;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;21;Neumuehlen/Dietrichsdorf;12845;6499;6346;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;22;Elmschenhagen;17164;8361;8803;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;23;Suchsdorf;9115;4365;4750;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;24;Schilksee;4857;2249;2608;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;25;Mettenhof;19940;9681;10259;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;26;Russee;6933;3354;3579;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;27;Meimersdorf;3219;1594;1625;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;28;Moorsee;2190;1111;1079;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;29;Wellsee;5219;2571;2648;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;30;Roenne;404;193;211;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2022_12_31;1;Altstadt;1213;621;592;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2022_12_31;2;Vorstadt;1457;733;724;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2022_12_31;3;Exerzierplatz;6296;3006;3290;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2022_12_31;4;Damperhof;3414;1644;1770;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2022_12_31;5;Brunswik;6390;2927;3463;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2022_12_31;6;Duesternbrook;3205;1544;1661;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2022_12_31;7;Bluecherplatz;11255;5165;6090;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2022_12_31;8;Wik;20026;9618;10408;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2022_12_31;9;Ravensberg;12155;5696;6459;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2022_12_31;10;Schreventeich;11602;5558;6044;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2022_12_31;11;Suedfriedhof;15154;7556;7598;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2022_12_31;12;Gaarden-Ost;18782;10234;8548;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2022_12_31;13;Gaarden-Sued/Kronsburg;10770;5438;5332;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2022_12_31;14;Hassee;12595;6343;6252;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2022_12_31;15;Hasseldieksdamm;2759;1345;1414;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2022_12_31;16;Ellerbek;6207;3148;3059;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2022_12_31;17;Wellingdorf;8053;3891;4162;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2022_12_31;18;Holtenau;6094;3045;3049;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2022_12_31;19;Pries;7306;3575;3731;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2022_12_31;20;Friedrichsort;2043;989;1054;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2022_12_31;21;Neumuehlen/Dietrichsdorf;12709;6381;6328;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2022_12_31;22;Elmschenhagen;17205;8386;8819;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2022_12_31;23;Suchsdorf;9094;4351;4743;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2022_12_31;24;Schilksee;4880;2262;2618;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2022_12_31;25;Mettenhof;20092;9776;10316;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2022_12_31;26;Russee;6934;3358;3576;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2022_12_31;27;Meimersdorf;3279;1638;1641;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2022_12_31;28;Moorsee;2141;1070;1071;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2022_12_31;29;Wellsee;5277;2614;2663;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2022_12_31;30;Roenne;416;198;218;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2021_12_31;1;Altstadt;1153;581;572;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2021_12_31;2;Vorstadt;1275;631;644;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2021_12_31;3;Exerzierplatz;6343;3045;3298;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2021_12_31;4;Damperhof;3396;1652;1744;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2021_12_31;5;Brunswik;6270;2864;3406;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2021_12_31;6;Duesternbrook;3135;1515;1620;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2021_12_31;7;Bluecherplatz;11312;5191;6121;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2021_12_31;8;Wik;19487;9382;10105;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2021_12_31;9;Ravensberg;12201;5687;6514;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2021_12_31;10;Schreventeich;11714;5620;6094;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2021_12_31;11;Suedfriedhof;15129;7554;7575;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2021_12_31;12;Gaarden-Ost;18728;10254;8474;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2021_12_31;13;Gaarden-Sued/Kronsburg;10680;5423;5257;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2021_12_31;14;Hassee;12471;6349;6122;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2021_12_31;15;Hasseldieksdamm;2805;1381;1424;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2021_12_31;16;Ellerbek;6216;3157;3059;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2021_12_31;17;Wellingdorf;8067;3907;4160;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2021_12_31;18;Holtenau;5785;2940;2845;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2021_12_31;19;Pries;7273;3554;3719;;
