Land;Stadt;Kategorie;Stadtteil;Jahr;ledig;verheiratet;verwitwet;geschieden;lat;lon
de-sh;Kiel;Bevoelkerung;Elmschenhagen;31_12_2022;7770;6903;999;1533;54.2934876;10.184575
de-sh;Kiel;Bevoelkerung;Suchsdorf;31_12_2022;3499;4325;625;645;54.3573804;10.0787571
de-sh;Kiel;Bevoelkerung;Schilksee;31_12_2022;1441;2410;565;464;54.4210463;10.1703279
de-sh;Kiel;Bevoelkerung;Mettenhof;31_12_2022;10192;7205;1179;1516;54.3223529;10.0532291
de-sh;Kiel;Bevoelkerung;Russee;31_12_2022;2575;3428;410;521;54.3016426;10.0665383
de-sh;Kiel;Bevoelkerung;Meimersdorf;31_12_2022;1477;1523;109;170;54.2747652;10.1101233
de-sh;Kiel;Bevoelkerung;Moorsee;31_12_2022;907;1018;93;123;54.264576;10.150361
de-sh;Kiel;Bevoelkerung;Wellsee;31_12_2022;2424;2213;208;432;54.2907296;10.1622402
de-sh;Kiel;Bevoelkerung;Roenne;31_12_2022;156;198;37;25;;
de-sh;Kiel;Bevoelkerung;Altstadt;31_12_2021;650;318;96;89;54.3232694;10.1394445
de-sh;Kiel;Bevoelkerung;Vorstadt;31_12_2021;779;297;90;109;54.3196228;10.1315252
de-sh;Kiel;Bevoelkerung;Exerzierplatz;31_12_2021;4215;1275;364;489;54.3209013;10.1273377
de-sh;Kiel;Bevoelkerung;Damperhof;31_12_2021;2251;717;166;262;54.3265337;10.1336102
de-sh;Kiel;Bevoelkerung;Brunswik;31_12_2021;4104;1253;406;507;54.3284802;10.1384443
de-sh;Kiel;Bevoelkerung;Duesternbrook;31_12_2021;1564;1212;173;186;;
de-sh;Kiel;Bevoelkerung;Bluecherplatz;31_12_2021;6829;3175;414;894;;
de-sh;Kiel;Bevoelkerung;Wik;31_12_2021;10551;6355;972;1609;54.3569525;10.1303056
de-sh;Kiel;Bevoelkerung;Ravensberg;31_12_2021;8809;2211;349;832;54.3434673;10.13196
de-sh;Kiel;Bevoelkerung;Schreventeich;31_12_2021;7809;2678;426;801;54.3276745;10.1139191
de-sh;Kiel;Bevoelkerung;Suedfriedhof;31_12_2021;10373;2975;704;1077;;
de-sh;Kiel;Bevoelkerung;Gaarden-Ost;31_12_2021;11805;4357;676;1890;54.3115439;10.1466285
de-sh;Kiel;Bevoelkerung;Gaarden-Sued/Kronsburg;31_12_2021;5318;3713;659;990;;
de-sh;Kiel;Bevoelkerung;Hassee;31_12_2021;6884;3720;702;1165;54.3046465;10.1007406
de-sh;Kiel;Bevoelkerung;Hasseldieksdamm;31_12_2021;1162;1241;183;219;54.3198064;10.0787696
de-sh;Kiel;Bevoelkerung;Ellerbek;31_12_2021;2873;2236;483;624;54.315604;10.165314
de-sh;Kiel;Bevoelkerung;Wellingdorf;31_12_2021;3779;2766;636;886;54.325299;10.1849227
de-sh;Kiel;Bevoelkerung;Holtenau;31_12_2021;2669;2221;397;498;54.3724973;10.1361679
de-sh;Kiel;Bevoelkerung;Pries;31_12_2021;3214;2759;499;801;54.3979145;10.170429
de-sh;Kiel;Bevoelkerung;Friedrichsort;31_12_2021;963;679;180;219;54.393077;10.1790173
de-sh;Kiel;Bevoelkerung;Neumuehlen/Dietrichsdorf;31_12_2021;6426;4241;808;1135;;
de-sh;Kiel;Bevoelkerung;Elmschenhagen;31_12_2021;7616;6975;979;1555;54.2934876;10.184575
de-sh;Kiel;Bevoelkerung;Suchsdorf;31_12_2021;3566;4396;619;660;54.3573804;10.0787571
de-sh;Kiel;Bevoelkerung;Schilksee;31_12_2021;1424;2477;562;462;54.4210463;10.1703279
de-sh;Kiel;Bevoelkerung;Mettenhof;31_12_2021;10004;7306;1191;1555;54.3223529;10.0532291
de-sh;Kiel;Bevoelkerung;Russee;31_12_2021;2593;3490;400;505;54.3016426;10.0665383
de-sh;Kiel;Bevoelkerung;Meimersdorf;31_12_2021;1466;1531;101;166;54.2747652;10.1101233
de-sh;Kiel;Bevoelkerung;Moorsee;31_12_2021;927;1021;92;128;54.264576;10.150361
de-sh;Kiel;Bevoelkerung;Wellsee;31_12_2021;2412;2233;205;432;54.2907296;10.1622402
de-sh;Kiel;Bevoelkerung;Roenne;31_12_2021;144;205;34;23;;
de-sh;Kiel;Bevoelkerung;Altstadt;31_12_2020;666;317;107;85;54.3232694;10.1394445
de-sh;Kiel;Bevoelkerung;Vorstadt;31_12_2020;760;317;90;109;54.3196228;10.1315252
de-sh;Kiel;Bevoelkerung;Exerzierplatz;31_12_2020;4239;1314;382;478;54.3209013;10.1273377
de-sh;Kiel;Bevoelkerung;Damperhof;31_12_2020;2196;708;168;263;54.3265337;10.1336102
de-sh;Kiel;Bevoelkerung;Brunswik;31_12_2020;4010;1301;405;521;54.3284802;10.1384443
de-sh;Kiel;Bevoelkerung;Duesternbrook;31_12_2020;1591;1246;165;194;;
de-sh;Kiel;Bevoelkerung;Bluecherplatz;31_12_2020;6733;3183;405;909;;
de-sh;Kiel;Bevoelkerung;Wik;31_12_2020;10594;6394;984;1593;54.3569525;10.1303056
de-sh;Kiel;Bevoelkerung;Ravensberg;31_12_2020;8804;2247;353;841;54.3434673;10.13196
de-sh;Kiel;Bevoelkerung;Schreventeich;31_12_2020;7885;2692;447;820;54.3276745;10.1139191
de-sh;Kiel;Bevoelkerung;Suedfriedhof;31_12_2020;10455;3003;730;1122;;
