Land;Stadt;Kategorie;Stadtteil;Jahr;ledig;verheiratet;verwitwet;geschieden;lat;lon
de-sh;Kiel;Bevoelkerung;Ellerbek;31_12_2015;2475;2310;480;629;54.315604;10.165314
de-sh;Kiel;Bevoelkerung;Wellingdorf;31_12_2015;3462;2952;669;901;54.325299;10.1849227
de-sh;Kiel;Bevoelkerung;Holtenau;31_12_2015;1976;2344;419;465;54.3724973;10.1361679
de-sh;Kiel;Bevoelkerung;Pries;31_12_2015;3094;2970;542;775;54.3979145;10.170429
de-sh;Kiel;Bevoelkerung;Friedrichsort;31_12_2015;880;759;207;213;54.393077;10.1790173
de-sh;Kiel;Bevoelkerung;Neumuehlen/Dietrichsdorf;31_12_2015;5549;4309;885;1262;;
de-sh;Kiel;Bevoelkerung;Elmschenhagen;31_12_2015;7135;7324;1012;1566;54.2934876;10.184575
de-sh;Kiel;Bevoelkerung;Suchsdorf;31_12_2015;3556;4567;630;674;54.3573804;10.0787571
de-sh;Kiel;Bevoelkerung;Schilksee;31_12_2015;1377;2647;550;456;54.4210463;10.1703279
de-sh;Kiel;Bevoelkerung;Mettenhof;31_12_2015;8934;7566;1239;1686;54.3223529;10.0532291
de-sh;Kiel;Bevoelkerung;Russee;31_12_2015;2633;3553;387;514;54.3016426;10.0665383
de-sh;Kiel;Bevoelkerung;Meimersdorf;31_12_2015;1400;1432;81;151;54.2747652;10.1101233
de-sh;Kiel;Bevoelkerung;Moorsee;31_12_2015;774;985;82;106;54.264576;10.150361
de-sh;Kiel;Bevoelkerung;Wellsee;31_12_2015;2287;2243;216;408;54.2907296;10.1622402
de-sh;Kiel;Bevoelkerung;Roenne;31_12_2015;144;221;29;34;;
