Land;Stadt;Kategorie;Jahr;Stadtteil;Tuerkei;Polen;Irak;Russland;Ukraine;Syrien;Bulgarien;lat;lon
de-sh;Kiel;Bevoelkerung;2015;Duesternbrook  ;9;17.0;6;14;6;18;-;;
de-sh;Kiel;Bevoelkerung;2015;Bluecherplatz   ;38;30.0;-;9;11;20;3;;
de-sh;Kiel;Bevoelkerung;2015;Wik             ;128;106.0;106;94;41;264;17;54.3569525;10.1303056
de-sh;Kiel;Bevoelkerung;2015;Ravensberg;53;72.0;11;47;21;30;11;54.3434673;10.13196
de-sh;Kiel;Bevoelkerung;2015;Schreventeich;44;40.0;37;29;13;14;5;54.3276745;10.1139191
de-sh;Kiel;Bevoelkerung;2015;Suedfriedhof  ;185;103.0;26;55;28;101;23;;
de-sh;Kiel;Bevoelkerung;2015;Gaarden-Ost ;1495;351.0;289;153;131;557;856;54.3115439;10.1466285
de-sh;Kiel;Bevoelkerung;2015;Gaarden-Sued/Kronsburg;167;102.0;72;33;25;112;87;;
de-sh;Kiel;Bevoelkerung;2015;Hassee    ;181;151.0;26;27;6;62;27;54.3046465;10.1007406
de-sh;Kiel;Bevoelkerung;2015;Hasseldieksdamm;13;18.0;1;9;3;2;3;54.3198064;10.0787696
de-sh;Kiel;Bevoelkerung;2015;Ellerbek     ;246;83.0;32;45;11;78;24;54.315604;10.165314
de-sh;Kiel;Bevoelkerung;2015;Wellingdorf  ;300;88.0;19;29;17;37;35;54.325299;10.1849227
de-sh;Kiel;Bevoelkerung;2015;Holtenau   ;23;20.0;169;16;10;434;-;54.3724973;10.1361679
de-sh;Kiel;Bevoelkerung;2015;Pries        ;129;60.0;17;28;18;62;1;54.3979145;10.170429
de-sh;Kiel;Bevoelkerung;2015;Friedrichsort   ;83;20.0;1;2;1;9;-;54.393077;10.1790173
de-sh;Kiel;Bevoelkerung;2015;Neumuehlen/Dietrichsdorf;483;83.0;57;49;28;173;45;;
de-sh;Kiel;Bevoelkerung;2015;Elmschenhagen;241;138.0;67;17;17;93;19;54.2934876;10.184575
de-sh;Kiel;Bevoelkerung;2015;Suchsdorf ;26;54.0;8;10;5;2;6;;
de-sh;Kiel;Bevoelkerung;2015;Schilksee  ;9;28.0;1;22;5;-;1;54.4210463;10.1703279
de-sh;Kiel;Bevoelkerung;2015;Mettenhof ;518;395.0;516;217;106;458;12;;
de-sh;Kiel;Bevoelkerung;2015;Russee    ;37;29.0;21;10;8;34;2;54.3016426;10.0665383
de-sh;Kiel;Bevoelkerung;2015;Meimersdorf  ;38;20.0;7;6;6;1;1;54.2747652;10.1101233
de-sh;Kiel;Bevoelkerung;2015;Moorsee    ;27;11.0;7;4;3;27;4;54.264576;10.150361
de-sh;Kiel;Bevoelkerung;2015;Wellsee    ;42;102.0;24;29;7;-;4;54.2907296;10.1622402
de-sh;Kiel;Bevoelkerung;2015;Roenne     ;-;1.0;-;-;-;-;-;;
