Land;Stadt;Kategorie;Jahr;Stadtteil;evangelisch;katholisch;sonstige/ohne;lat;lon
de-sh;Kiel;Bevoelkerung;2022;Roenne;183;18;215;;
de-sh;Kiel;Bevoelkerung;2021;Altstadt;377;92;684;;
de-sh;Kiel;Bevoelkerung;2021;Vorstadt;403;101;771;54.3196228;10.1315252
de-sh;Kiel;Bevoelkerung;2021;Exerzierplatz;2321;454;3568;;
de-sh;Kiel;Bevoelkerung;2021;Damperhof;1140;255;2001;54.3265337;10.1336102
de-sh;Kiel;Bevoelkerung;2021;Brunswik;2289;446;3535;54.3284802;10.1384443
de-sh;Kiel;Bevoelkerung;2021;Duesternbrook;1156;280;1699;;
de-sh;Kiel;Bevoelkerung;2021;Bluecherplatz;4034;824;6454;;
de-sh;Kiel;Bevoelkerung;2021;Wik;6585;1277;11625;54.3569525;10.1303056
de-sh;Kiel;Bevoelkerung;2021;Ravensberg;4642;834;6725;54.3434673;10.13196
de-sh;Kiel;Bevoelkerung;2021;Schreventeich;4606;786;6322;54.3276745;10.1139191
de-sh;Kiel;Bevoelkerung;2021;Suedfriedhof;5489;985;8655;;
de-sh;Kiel;Bevoelkerung;2021;Gaarden-Ost;3677;941;14110;54.3115439;10.1466285
de-sh;Kiel;Bevoelkerung;2021;Gaarden-Sued/Kronsburg;3455;643;6582;;
de-sh;Kiel;Bevoelkerung;2021;Hassee;4418;727;7326;54.3046465;10.1007406
de-sh;Kiel;Bevoelkerung;2021;Hasseldieksdamm;1040;204;1561;54.3198064;10.0787696
de-sh;Kiel;Bevoelkerung;2021;Ellerbek;1779;370;4067;54.315604;10.165314
de-sh;Kiel;Bevoelkerung;2021;Wellingdorf;2548;446;5073;54.325299;10.1849227
de-sh;Kiel;Bevoelkerung;2021;Holtenau;2017;331;3437;54.3724973;10.1361679
de-sh;Kiel;Bevoelkerung;2021;Pries;2563;373;4337;54.3979145;10.170429
de-sh;Kiel;Bevoelkerung;2021;Friedrichsort;681;124;1236;54.393077;10.1790173
de-sh;Kiel;Bevoelkerung;2021;Neumuehlen/Dietrichsdorf;3932;644;8034;;
de-sh;Kiel;Bevoelkerung;2021;Elmschenhagen;5831;902;10392;54.2934876;10.184575
de-sh;Kiel;Bevoelkerung;2021;Suchsdorf;3577;611;5053;;
de-sh;Kiel;Bevoelkerung;2021;Schilksee;1732;332;2861;54.4210463;10.1703279
de-sh;Kiel;Bevoelkerung;2021;Mettenhof;4173;1786;14097;;
de-sh;Kiel;Bevoelkerung;2021;Russee;2475;426;4087;54.3016426;10.0665383
de-sh;Kiel;Bevoelkerung;2021;Meimersdorf;1015;166;2083;54.2747652;10.1101233
de-sh;Kiel;Bevoelkerung;2021;Moorsee;683;117;1368;54.264576;10.150361
de-sh;Kiel;Bevoelkerung;2021;Wellsee;1611;362;3309;54.2907296;10.1622402
