Land;Stadt;Kategorie;Jahr;Stadtteile;Merkmal;Einpersonen;Paar ohne Kind;Paar mit Kindern;Paar mit Nachkommen;Alleinerziehende;Sonst. Mehrpersonenhaushalte
de-sh;Kiel;Bevoelkerung;31.12.2022;Wellsee;Haushalte;1060;617;465;107;149;163
de-sh;Kiel;Bevoelkerung;31.12.2022;Roenne;Haushalte;77;61;34;9;6;18
de-sh;Kiel;Bevoelkerung;31.12.2021;Altstadt;Haushalte;430;175;40;7;13;27
de-sh;Kiel;Bevoelkerung;31.12.2021;Vorstadt;Haushalte;670;158;41;2;13;38
de-sh;Kiel;Bevoelkerung;31.12.2021;Exerzierplatz;Haushalte;3262;755;240;18;89;151
de-sh;Kiel;Bevoelkerung;31.12.2021;Damperhof;Haushalte;1750;372;135;20;47;73
de-sh;Kiel;Bevoelkerung;31.12.2021;Brunswik;Haushalte;3301;705;225;23;99;155
de-sh;Kiel;Bevoelkerung;31.12.2021;Duesternbrook;Haushalte;767;340;220;67;35;92
de-sh;Kiel;Bevoelkerung;31.12.2021;Bluecherplatz;Haushalte;4526;1338;735;92;222;262
de-sh;Kiel;Bevoelkerung;31.12.2021;Wik;Haushalte;6154;2450;1203;224;390;488
de-sh;Kiel;Bevoelkerung;31.12.2021;Ravensberg;Haushalte;5788;1215;493;54;173;261
de-sh;Kiel;Bevoelkerung;31.12.2021;Schreventeich;Haushalte;5372;1355;595;84;175;285
de-sh;Kiel;Bevoelkerung;31.12.2021;Suedfriedhof;Haushalte;7304;1653;578;96;229;366
de-sh;Kiel;Bevoelkerung;31.12.2021;Gaarden-Ost;Haushalte;6872;1235;1236;200;624;704
de-sh;Kiel;Bevoelkerung;31.12.2021;Gaarden-Sued/Kronsburg;Haushalte;3221;1203;700;157;254;372
de-sh;Kiel;Bevoelkerung;31.12.2021;Hassee;Haushalte;4684;1372;671;177;291;395
de-sh;Kiel;Bevoelkerung;31.12.2021;Hasseldieksdamm;Haushalte;651;374;214;68;49;77
de-sh;Kiel;Bevoelkerung;31.12.2021;Ellerbek;Haushalte;1835;650;430;127;124;206
de-sh;Kiel;Bevoelkerung;31.12.2021;Wellingdorf;Haushalte;2576;962;480;98;272;280
de-sh;Kiel;Bevoelkerung;31.12.2021;Holtenau;Haushalte;1441;773;324;96;96;161
de-sh;Kiel;Bevoelkerung;31.12.2021;Pries;Haushalte;1944;877;481;121;231;251
de-sh;Kiel;Bevoelkerung;31.12.2021;Friedrichsort;Haushalte;715;203;136;25;61;69
de-sh;Kiel;Bevoelkerung;31.12.2021;Neumuehlen/Dietrichsdorf;Haushalte;3547;1359;790;181;371;428
de-sh;Kiel;Bevoelkerung;31.12.2021;Elmschenhagen;Haushalte;4070;2162;1223;310;457;534
de-sh;Kiel;Bevoelkerung;31.12.2021;Suchsdorf;Haushalte;1836;1294;811;194;179;255
de-sh;Kiel;Bevoelkerung;31.12.2021;Schilksee;Haushalte;1348;924;247;78;70;148
de-sh;Kiel;Bevoelkerung;31.12.2021;Mettenhof;Haushalte;3482;1810;1773;381;605;745
de-sh;Kiel;Bevoelkerung;31.12.2021;Russee;Haushalte;1265;1091;553;160;145;221
de-sh;Kiel;Bevoelkerung;31.12.2021;Meimersdorf;Haushalte;299;304;433;77;77;87
de-sh;Kiel;Bevoelkerung;31.12.2021;Moorsee;Haushalte;272;244;263;42;41;52
de-sh;Kiel;Bevoelkerung;31.12.2021;Wellsee;Haushalte;1023;626;465;115;143;161
de-sh;Kiel;Bevoelkerung;31.12.2021;Roenne;Haushalte;75;63;33;7;5;19
de-sh;Kiel;Bevoelkerung;31_12_2020;Altstadt;Haushalte;407;162;42;7;10;45
de-sh;Kiel;Bevoelkerung;31_12_2020;Vorstadt;Haushalte;644;165;42;3;13;41
de-sh;Kiel;Bevoelkerung;31_12_2020;Exerzierplatz;Haushalte;3259;733;254;19;78;180
de-sh;Kiel;Bevoelkerung;31_12_2020;Damperhof;Haushalte;1704;350;134;15;38;98
de-sh;Kiel;Bevoelkerung;31_12_2020;Brunswik;Haushalte;3261;681;234;21;97;170
de-sh;Kiel;Bevoelkerung;31_12_2020;Duesternbrook;Haushalte;768;352;228;59;33;99
de-sh;Kiel;Bevoelkerung;31_12_2020;Bluecherplatz;Haushalte;4455;1312;742;85;217;280
de-sh;Kiel;Bevoelkerung;31_12_2020;Wik;Haushalte;6021;2462;1206;230;389;511
de-sh;Kiel;Bevoelkerung;31_12_2020;Ravensberg;Haushalte;5732;1209;503;57;165;293
de-sh;Kiel;Bevoelkerung;31_12_2020;Schreventeich;Haushalte;5303;1378;607;87;169;312
de-sh;Kiel;Bevoelkerung;31_12_2020;Suedfriedhof;Haushalte;7291;1627;580;93;241;417
de-sh;Kiel;Bevoelkerung;31_12_2020;Gaarden-Ost;Haushalte;6713;1194;1243;206;617;741
de-sh;Kiel;Bevoelkerung;31_12_2020;Gaarden-Sued/Kronsburg;Haushalte;3146;1206;700;151;251;399
de-sh;Kiel;Bevoelkerung;31_12_2020;Hassee;Haushalte;4627;1363;664;181;277;408
de-sh;Kiel;Bevoelkerung;31_12_2020;Hasseldieksdamm;Haushalte;665;367;222;64;48;85
de-sh;Kiel;Bevoelkerung;31_12_2020;Ellerbek;Haushalte;1748;664;461;117;124;226
de-sh;Kiel;Bevoelkerung;31_12_2020;Wellingdorf;Haushalte;2495;957;463;104;288;291
de-sh;Kiel;Bevoelkerung;31_12_2020;Holtenau;Haushalte;1392;769;323;102;104;172
de-sh;Kiel;Bevoelkerung;31_12_2020;Pries;Haushalte;1863;880;477;134;226;272
de-sh;Kiel;Bevoelkerung;31_12_2020;Friedrichsort;Haushalte;726;207;136;28;57;73
de-sh;Kiel;Bevoelkerung;31_12_2020;Neumuehlen/Dietrichsdorf;Haushalte;3416;1353;796;180;393;458
de-sh;Kiel;Bevoelkerung;31_12_2020;Elmschenhagen;Haushalte;3938;2169;1230;340;452;558
de-sh;Kiel;Bevoelkerung;31_12_2020;Suchsdorf;Haushalte;1784;1270;816;201;193;262
de-sh;Kiel;Bevoelkerung;31_12_2020;Schilksee;Haushalte;1293;934;248;77;68;166
de-sh;Kiel;Bevoelkerung;31_12_2020;Mettenhof;Haushalte;3402;1859;1753;377;577;740
de-sh;Kiel;Bevoelkerung;31_12_2020;Russee;Haushalte;1275;1081;552;168;143;232
de-sh;Kiel;Bevoelkerung;31_12_2020;Meimersdorf;Haushalte;286;309;450;72;73;82
